"NOMBRE_BAR","NOMBRE_COM","Riesgo","colores"
"Trece de Noviembre","VILLA HERMOSA","Bajo","#006400"
"Popular","POPULAR","Moderado","#ffa333"
"San Miguel","VILLA HERMOSA","Moderado","#ffa333"
"Suburbano Palmitas","PALMITAS","Moderado","#ffa333"
"Los Balsos No.1","EL POBLADO","Bajo","#006400"
"Villa Nueva","LA CANDELARIA","Alto","#d90000"
"El Cerro","SANTA ELENA","No aplica","#808080"
"Rosales","BELEN","Bajo","#006400"
"El Nogal-Los Almendros","BELEN","Bajo","#006400"
"El Diamante","ROBLEDO","Moderado","#ffa333"
"La Castellana","LAURELES","Bajo","#006400"
"La Florida","SAN ANTONIO DE PRADO","Bajo","#006400"
"Picachito","DOCE DE OCTUBRE","Moderado","#ffa333"
"Aranjuez","ARANJUEZ","Moderado","#ffa333"
"La mota","BELEN","Bajo","#006400"
"La Loma Oriental","SAN CRISTOBAL","Moderado","#ffa333"
"Lorena","LAURELES","Bajo","#006400"
"Villa Niza","SANTA CRUZ","Moderado","#ffa333"
"Playón de Los Comuneros","SANTA CRUZ","Moderado","#ffa333"
"El Velódromo","LAURELES","Bajo","#006400"
"Miravalle","BELEN","Bajo","#006400"
"Veinte de Julio","SAN JAVIER","Moderado","#ffa333"
"Suburbano Barro Blanco","SANTA ELENA","No aplica","#808080"
"Metropolitano","SAN JAVIER","Moderado","#ffa333"
"Universidad Nacional","ROBLEDO","Alto","#d90000"
"Tricentenario","CASTILLA","Bajo","#006400"
"La Colina","GUAYABAL","Bajo","#006400"
"El Estadio","LAURELES","Bajo","#006400"
"Área de Expansión San Antonio de Prado","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"Manrique Central No. 2","MANRIQUE","Moderado","#ffa333"
"Las Playas","SAN CRISTOBAL","Bajo","#006400"
"Belalcázar","CASTILLA","Bajo","#006400"
"Los Balsos No.2","EL POBLADO","Bajo","#006400"
"La Salle","MANRIQUE","Moderado","#ffa333"
"Suburbano Travesias","SAN CRISTOBAL","Moderado","#ffa333"
"La Ladera","VILLA HERMOSA","Moderado","#ffa333"
"Manila","EL POBLADO","Alto","#d90000"
"Francisco Antonio Zea","CASTILLA","Moderado","#ffa333"
"Asomadera No. 3","BUENOS AIRES","Bajo","#006400"
"Ocho de Marzo","BUENOS AIRES","Moderado","#ffa333"
"Suburbano Urquita","PALMITAS","No aplica","#808080"
"Palenque","ROBLEDO","Bajo","#006400"
"Los Colores","LAURELES","Alto","#d90000"
"Cerro Nutibara","BELEN","Bajo","#006400"
"Palermo","ARANJUEZ","Moderado","#ffa333"
"Media Luna","SANTA ELENA","Moderado","#ffa333"
"El Progreso","CASTILLA","Alto","#d90000"
"Bomboná No. 1","LA CANDELARIA","Bajo","#006400"
"Brasilia","ARANJUEZ","Moderado","#ffa333"
"U.P.B.","LAURELES","Bajo","#006400"
"Facultad Veterinaria y Zootecnia U.de.A.","ROBLEDO","Bajo","#006400"
"Alfonso López","CASTILLA","Moderado","#ffa333"
"Santa Teresita","LA AMERICA","Bajo","#006400"
"La Rosa","SANTA CRUZ","Moderado","#ffa333"
"San Martín de Porres","DOCE DE OCTUBRE","Moderado","#ffa333"
"Santa Lucía","LA AMERICA","Moderado","#ffa333"
"Suburbano Potrerito","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"La Avanzada","POPULAR","Moderado","#ffa333"
"Santo Domingo Savio No. 2","POPULAR","Moderado","#ffa333"
"Las Playas","BELEN","bajo",NA
"Andalucía","SANTA CRUZ","Moderado","#ffa333"
"La Verde","SAN ANTONIO DE PRADO","Bajo","#006400"
"Fátima","BELEN","Bajo","#006400"
"Suburbano La Loma","SAN CRISTOBAL","Moderado","#ffa333"
"Pedregal Bajo","SAN CRISTOBAL","Moderado","#ffa333"
"Las Lomas No.1","EL POBLADO","Bajo","#006400"
"Campo Valdés No. 2","MANRIQUE","Moderado","#ffa333"
"El Pesebre","SAN JAVIER","Moderado","#ffa333"
"Oleoducto","CASTILLA","Moderado","#ffa333"
"Los Ángeles","LA CANDELARIA","Bajo","#006400"
"Las Esmeraldas","ARANJUEZ","Moderado","#ffa333"
"Naranjal","SAN CRISTOBAL","Alto","#d90000"
"La Esperanza","ALTAVISTA","Moderado","#ffa333"
"Monteclaro","ROBLEDO","Moderado","#ffa333"
"El Uvito","SAN CRISTOBAL","Moderado","#ffa333"
"Doce de Octubre No.1","DOCE DE OCTUBRE","Moderado","#ffa333"
"Campo Alegre","LA AMERICA","Moderado","#ffa333"
"La Aldea","PALMITAS","No aplica","#808080"
"Cristo Rey","GUAYABAL","Alto","#d90000"
"Tenche","GUAYABAL","Bajo","#006400"
"Calle Nueva","LA CANDELARIA","Alto","#d90000"
"Campo Amor","GUAYABAL","Alto","#d90000"
"Alejandro Echavarría","BUENOS AIRES","Moderado","#ffa333"
"Astorga","EL POBLADO","Bajo","#006400"
"Los Cerros El Vergel","BUENOS AIRES","Moderado","#ffa333"
"Las Granjas","MANRIQUE","Moderado","#ffa333"
"La Mansión","VILLA HERMOSA","Moderado","#ffa333"
"La Floresta","LA AMERICA","Bajo","#006400"
"Perpetuo Socorro","LA CANDELARIA","Alto","#d90000"
"Mirador del Doce","DOCE DE OCTUBRE","Moderado","#ffa333"
"Area De Expansion El Noral","ALTAVISTA","No aplica","#808080"
"Bermejal-Los Alamos","ARANJUEZ","Moderado","#ffa333"
"Piedras Blancas Represa","SANTA ELENA","Bajo","#006400"
"San Pablo","ALTAVISTA","Moderado","#ffa333"
"El Corazon El Morro","ALTAVISTA","Moderado","#ffa333"
"Berlin","ARANJUEZ","Moderado","#ffa333"
"San Isidro","ARANJUEZ","Moderado","#ffa333"
"Los Mangos","VILLA HERMOSA","Moderado","#ffa333"
"Bomboná No. 2","BUENOS AIRES","Moderado","#ffa333"
"El Astillero","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"El Diamante No. 2","EL POBLADO","Bajo","#006400"
"El Pomar","MANRIQUE","Moderado","#ffa333"
"Pajarito","ROBLEDO","Moderado","#ffa333"
"La Frisola","PALMITAS","Moderado","#ffa333"
"Altavista Sector Central","ALTAVISTA","Moderado","#ffa333"
"Volcana Guayabal","PALMITAS","Moderado","#ffa333"
"Palmitas Sector Central","PALMITAS","Moderado","#ffa333"
"San Bernardo","BELEN","Bajo","#006400"
"San José la Cima No. 1","MANRIQUE","Moderado","#ffa333"
"El Compromiso","POPULAR","Moderado","#ffa333"
"Centro Administrativo","LA CANDELARIA","Bajo","#006400"
"Carlos E. Restrepo","LAURELES","Bajo","#006400"
"Facultad de Minas U. Nacional","ROBLEDO","Bajo","#006400"
"La América","LA AMERICA","No aplica","#808080"
"Asomadera No. 1","BUENOS AIRES","Bajo","#006400"
"Olaya Herrera","ROBLEDO","Moderado","#ffa333"
"La Pilarica","ROBLEDO","Bajo","#006400"
"Florida Nueva","LAURELES","Bajo","#006400"
"Guayabal","GUAYABAL","Alto","#d90000"
"Naranjal","LAURELES","Alto","#d90000"
"Parque Norte","ARANJUEZ","Bajo","#006400"
"Calasanz Parte Alta","LA AMERICA","Bajo","#006400"
"Tejelo","CASTILLA","Moderado","#ffa333"
"Los Conquistadores","LAURELES","Alto","#d90000"
"El Corazón","SAN JAVIER","Moderado","#ffa333"
"Boqueron","SAN CRISTOBAL","Moderado","#ffa333"
"Boston","LA CANDELARIA","Alto","#d90000"
"La Sierra","VILLA HERMOSA","Moderado","#ffa333"
"El Rodeo","GUAYABAL","Moderado","#ffa333"
"Las Lomas No.2","EL POBLADO","Bajo","#006400"
"San Lucas","EL POBLADO","Bajo","#006400"
"San José la Cima No.2","MANRIQUE","Moderado","#ffa333"
"Barrio de Jesús","BUENOS AIRES","Moderado","#ffa333"
"Bolivariana","LAURELES","Bajo","#006400"
"Santa María de los Ángeles","EL POBLADO","Bajo","#006400"
"Santander","DOCE DE OCTUBRE","Moderado","#ffa333"
"Cucaracho","ROBLEDO","Moderado","#ffa333"
"Diego Echavarría","BELEN","Bajo","#006400"
"Piedra Gorda","SANTA ELENA","No aplica","#808080"
"La Suiza","PALMITAS","No aplica","#808080"
"Area De Expansion Altavista","ALTAVISTA","Moderado","#ffa333"
"Aguas Frias","ALTAVISTA","Moderado","#ffa333"
"Betania","SAN JAVIER","Moderado","#ffa333"
"San Javier No.1","SAN JAVIER","Moderado","#ffa333"
"Bosques de San Pablo","ROBLEDO","Bajo","#006400"
"Eduardo Santos","SAN JAVIER","Moderado","#ffa333"
"Potrera Miserenga","PALMITAS","No aplica","#808080"
"Cabecera Urbana San Cristobal","SAN CRISTOBAL","Moderado","#ffa333"
"Sucre","VILLA HERMOSA","Moderado","#ffa333"
"Toscana","CASTILLA","Bajo","#006400"
"San Germán","ROBLEDO","Bajo","#006400"
"Girardot","CASTILLA","Moderado","#ffa333"
"Villa Carlota","EL POBLADO","Alto","#d90000"
"San Pedro","ARANJUEZ","Bajo","#006400"
"Gerona","BUENOS AIRES","Moderado","#ffa333"
"Nueva Villa de Aburrá","BELEN","Bajo","#006400"
"Las Palmas","LA CANDELARIA","Bajo","#006400"
"Suburbano El Llano","SAN CRISTOBAL","Moderado","#ffa333"
"Robledo","ROBLEDO","Moderado","#ffa333"
"Manrique Oriental","MANRIQUE","Moderado","#ffa333"
"El Salado","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"La Hondonada","BELEN","Bajo","#006400"
"El Socorro","SAN JAVIER","Moderado","#ffa333"
"Los Pinos","LA AMERICA","Bajo","#006400"
"Santa Elena Sector Central","SANTA ELENA","Bajo","#006400"
"San Javier No.2","SAN JAVIER","Moderado","#ffa333"
"Area De Expansion Belen Rincon","ALTAVISTA","Bajo","#006400"
"Los Naranjos","EL POBLADO","Bajo","#006400"
"Versalles No. 2","MANRIQUE","Moderado","#ffa333"
"Area de Expansion Altos de Calasanz","SAN CRISTOBAL","Bajo","#006400"
"El Pinal","VILLA HERMOSA","Moderado","#ffa333"
"Picacho","DOCE DE OCTUBRE","Moderado","#ffa333"
"Villa Liliam","VILLA HERMOSA","Moderado","#ffa333"
"Suburbano Piedra Gorda","SANTA ELENA","Bajo","#006400"
"Barrio Cristóbal","LA AMERICA","Bajo","#006400"
"Suburbano La Palma-El Patio","SAN CRISTOBAL","Bajo","#006400"
"Suburbano Matasano 1","SANTA ELENA","No aplica","#808080"
"Estación Villa","LA CANDELARIA","Bajo","#006400"
"Santa Margarita","ROBLEDO","Moderado","#ffa333"
"Pablo VI","SANTA CRUZ","Moderado","#ffa333"
"La Alpujarra","LA CANDELARIA","Alto","#d90000"
"La Loma","SAN CRISTOBAL","Moderado","#ffa333"
"San Antonio","VILLA HERMOSA","Moderado","#ffa333"
"La Palma","BELEN","Bajo","#006400"
"Campo Valdés No. 1","ARANJUEZ","Moderado","#ffa333"
"Nuevos Conquistadores","SAN JAVIER","Moderado","#ffa333"
"Travesías","SAN CRISTOBAL","Bajo","#006400"
"Lalinde","EL POBLADO","Bajo","#006400"
"Guayaquil","LA CANDELARIA","Alto","#d90000"
"El Raizal","MANRIQUE","Moderado","#ffa333"
"La Candelaria","LA CANDELARIA","Alto","#d90000"
"López de Mesa","ROBLEDO","Moderado","#ffa333"
"Sevilla","ARANJUEZ","Bajo","#006400"
"Suburbano Aguas Frias","ALTAVISTA","Moderado","#ffa333"
"María Cano Carambolas","MANRIQUE","Moderado","#ffa333"
"Suburbano El Cerro","SANTA ELENA","No aplica","#808080"
"Oriente","MANRIQUE","Moderado","#ffa333"
"Trinidad","GUAYABAL","Bajo","#006400"
"Pedregal Alto","SAN CRISTOBAL","Moderado","#ffa333"
"Enciso","VILLA HERMOSA","Moderado","#ffa333"
"Granizal","POPULAR","Moderado","#ffa333"
"Santa Rosa de Lima","SAN JAVIER","Moderado","#ffa333"
"Las Violetas","BELEN","Moderado","#ffa333"
"Barrio Colombia","EL POBLADO","Bajo","#006400"
"Universidad de Antioquia","ARANJUEZ","Bajo","#006400"
"Altos del Poblado","EL POBLADO","Bajo","#006400"
"San Diego","LA CANDELARIA","Alto","#d90000"
"San Benito","LA CANDELARIA","Alto","#d90000"
"Llanaditas","VILLA HERMOSA","Moderado","#ffa333"
"El Progreso No.2","DOCE DE OCTUBRE","Moderado","#ffa333"
"El Llano","SAN CRISTOBAL","No aplica","#808080"
"Cementerio Universal","CASTILLA","Bajo","#006400"
"Villa Flora","ROBLEDO","Moderado","#ffa333"
"Las Estancias","VILLA HERMOSA","Moderado","#ffa333"
"U.D. Atanasio Girardot","LAURELES","Bajo","#006400"
"Las Brisas","CASTILLA","Bajo","#006400"
"Los Alpes","BELEN","Bajo","#006400"
"Asomadera No. 2","BUENOS AIRES","Bajo","#006400"
"El Rincón","BELEN","Bajo","#006400"
"B. Cerro  El Volador","ROBLEDO","Moderado","#ffa333"
"Miraflores","BUENOS AIRES","Moderado","#ffa333"
"Miranda","ARANJUEZ","Bajo","#006400"
"El Plan","SANTA ELENA","Moderado","#ffa333"
"La Oculta","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"Santa Inés","MANRIQUE","Moderado","#ffa333"
"Pajarito","SAN CRISTOBAL","Moderado","#ffa333"
"Kennedy","DOCE DE OCTUBRE","Moderado","#ffa333"
"Belencito","SAN JAVIER","Moderado","#ffa333"
"Loma de los Bernal","BELEN","Bajo","#006400"
"Aures No.1","ROBLEDO","Bajo","#006400"
"Altavista","BELEN","Bajo","#006400"
"Granada","BELEN","Bajo","#006400"
"San Joaquín","LAURELES","Bajo","#006400"
"Suburbano Pedregal alto","SAN CRISTOBAL","Moderado","#ffa333"
"Las Independencias","SAN JAVIER","Moderado","#ffa333"
"La Florida","EL POBLADO","Bajo","#006400"
"Cataluña","BUENOS AIRES","Bajo","#006400"
"Jardín Botánico","ARANJUEZ","Bajo","#006400"
"La Isla","SANTA CRUZ","Moderado","#ffa333"
"La Urquita","PALMITAS","No aplica","#808080"
"El Vergel","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"El Poblado","EL POBLADO","Bajo","#006400"
"Barro Blanco","SANTA ELENA","No aplica","#808080"
"La Libertad","VILLA HERMOSA","Moderado","#ffa333"
"Suburbano Potrera Miserenga","PALMITAS","No aplica","#808080"
"La Francia","SANTA CRUZ","Moderado","#ffa333"
"Suramericana","LAURELES","Bajo","#006400"
"Juan Pablo II","BUENOS AIRES","Moderado","#ffa333"
"Simón Bolívar","LA AMERICA","Bajo","#006400"
"Pedregal","DOCE DE OCTUBRE","Moderado","#ffa333"
"San Jose Del Manzanillo","ALTAVISTA","Bajo","#006400"
"La Aguacatala","EL POBLADO","Alto","#d90000"
"El Salado","SAN JAVIER","Moderado","#ffa333"
"El Salvador","BUENOS AIRES","Moderado","#ffa333"
"Moravia","ARANJUEZ","Bajo","#006400"
"Plaza de Ferias","CASTILLA","Moderado","#ffa333"
"La Piñuela","ARANJUEZ","Moderado","#ffa333"
"Suburbano El Placer","SANTA ELENA","No aplica","#808080"
"El Placer","SANTA ELENA","No aplica","#808080"
"Suburbano Santa Elena Central","SANTA ELENA","No aplica","#808080"
"Moscú No. 1","SANTA CRUZ","Moderado","#ffa333"
"El Chagualo","LA CANDELARIA","Alto","#d90000"
"Calasanz","LA AMERICA","Bajo","#006400"
"SUBURB El Plan","SANTA ELENA","Moderado","#ffa333"
"Fuente Clara","ROBLEDO","Moderado","#ffa333"
"La Esperanza","DOCE DE OCTUBRE","Moderado","#ffa333"
"Suburbano el Tesoro","SANTA ELENA","Bajo","#006400"
"Suburbano Matasano 3","SANTA ELENA","No aplica","#808080"
"El Llano SE","SANTA ELENA","Bajo","#006400"
"Hospital San Vicente de Paúl","LA CANDELARIA","Bajo","#006400"
"Nueva Villa de la Iguaná","ROBLEDO","Bajo","#006400"
"Cuarta Brigada","LAURELES","Bajo","#006400"
"Belén","BELEN","Alto","#d90000"
"Florencia","CASTILLA","Moderado","#ffa333"
"Aures No. 2","ROBLEDO","Moderado","#ffa333"
"Alejandría","EL POBLADO","Bajo","#006400"
"Carpinelo","POPULAR","Moderado","#ffa333"
"Los Alcázares","SAN JAVIER","Moderado","#ffa333"
"La Pradera","SAN JAVIER","Moderado","#ffa333"
"San José de la Montaña","SAN CRISTOBAL","Moderado","#ffa333"
"El Tesoro","EL POBLADO","Bajo","#006400"
"El Picacho","SAN CRISTOBAL","Moderado","#ffa333"
"El Triunfo","DOCE DE OCTUBRE","Moderado","#ffa333"
"Loreto","BUENOS AIRES","Moderado","#ffa333"
"Suburbano Mirador del Poblado","SANTA ELENA","Moderado","#ffa333"
"Boyacá","CASTILLA","Moderado","#ffa333"
"Córdoba","ROBLEDO","Moderado","#ffa333"
"Buenos Aires","BUENOS AIRES","Bajo","#006400"
"Santa Mónica","LA AMERICA","Moderado","#ffa333"
"Potrerito","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"Villa Turbay","VILLA HERMOSA","Moderado","#ffa333"
"El Danubio","LA AMERICA","Moderado","#ffa333"
"Corazón de Jesús","LA CANDELARIA","Alto","#d90000"
"Las Mercedes","BELEN","Bajo","#006400"
"El Castillo","EL POBLADO","Bajo","#006400"
"Blanquizal","SAN JAVIER","Moderado","#ffa333"
"Yarumalito","SAN ANTONIO DE PRADO","Moderado","#ffa333"
"Ferrini","LA AMERICA","Bajo","#006400"
"Villa Guadalupe","POPULAR","Moderado","#ffa333"
"Barrio Caicedo","BUENOS AIRES","Moderado","#ffa333"
"Patio Bonito","EL POBLADO","Bajo","#006400"
"Castropol","EL POBLADO","Bajo","#006400"
"Versalles No. 1","MANRIQUE","Moderado","#ffa333"
"Parque Juan Pablo II","GUAYABAL","Bajo","#006400"
"Cabecera San Antonio de Prado","SAN ANTONIO DE PRADO","Alto","#d90000"
"Castilla","CASTILLA","Alto","#d90000"
"Barrio Colón","LA CANDELARIA","Alto","#d90000"
"Caribe","CASTILLA","Alto","#d90000"
"Santo Domingo Savio No. 1","POPULAR","Moderado","#ffa333"
"Bello Horizonte","ROBLEDO","Moderado","#ffa333"
"Manrique Central No. 1","ARANJUEZ","Moderado","#ffa333"
"La Cuchilla","SAN CRISTOBAL","No aplica","#808080"
"Terminal de Transporte","CASTILLA","Alto","#d90000"
"La Palma-El Patio","SAN CRISTOBAL","No aplica","#808080"
"Área de Expansión Pajarito","SAN CRISTOBAL","Moderado","#ffa333"
"Suburbano La Aldea","PALMITAS","No aplica","#808080"
"La Esperanza No. 2","POPULAR","Moderado","#ffa333"
"Las Acacias","LAURELES","Bajo","#006400"
"Buga Patio Bonito","ALTAVISTA","Moderado","#ffa333"
"Aldea Pablo VI","POPULAR","Moderado","#ffa333"
"Santa Fé","GUAYABAL","Alto","#d90000"
"San Pablo","POPULAR","Moderado","#ffa333"
"Villa Hermosa","VILLA HERMOSA","Moderado","#ffa333"
"La Milagrosa","BUENOS AIRES","Moderado","#ffa333"
"Suburbano La Cuchilla","SAN CRISTOBAL","Bajo","#006400"
"Prado","LA CANDELARIA","Alto","#d90000"
"Doce de Octubre No.2","DOCE DE OCTUBRE","Moderado","#ffa333"
"La Gloria","BELEN","Bajo","#006400"
"Moscú No. 2","POPULAR","Moderado","#ffa333"
"La Frontera","SANTA CRUZ","Moderado","#ffa333"
"Jesús Nazareno","LA CANDELARIA","Alto","#d90000"
"Villa del Socorro","SANTA CRUZ","Moderado","#ffa333"
"Villatina","VILLA HERMOSA","Moderado","#ffa333"
"Suburbano El Llano","SANTA ELENA","Moderado","#ffa333"
"Juan XXIII La Quiebra","SAN JAVIER","Moderado","#ffa333"
"El Carmelo","SAN CRISTOBAL","No aplica","#808080"
"Yolombo","SAN CRISTOBAL","Moderado","#ffa333"
"Suburbano Chacaltaya","SANTA ELENA","No aplica","#808080"
"Batallón Girardot","VILLA HERMOSA","Moderado","#ffa333"
"Santa Cruz","SANTA CRUZ","Moderado","#ffa333"
"Altamira","ROBLEDO","Bajo","#006400"
"Laureles","LAURELES","Bajo","#006400"
"Suburbano Matasano 2","SANTA ELENA","No aplica","#808080"
"Suburbano Altavista","ALTAVISTA","Moderado","#ffa333"
"La Cruz","MANRIQUE","Moderado","#ffa333"
"Héctor Abad Gómez","CASTILLA","Bajo","#006400"
"Piedras Blancas","SANTA ELENA","Moderado","#ffa333"
"Antonio Nariño","SAN JAVIER","Moderado","#ffa333"
